[FIXES]
BECKA N039.58.11.780 W077.38.51.530
BEDDE N040.27.08.530 W081.42.36.760
BEDJO N042.17.33.710 W085.28.49.120
BEEBE N043.19.24.950 W084.29.37.790
BEEDY N038.17.12.130 W078.52.59.320
BEEEE N041.16.35.380 W082.00.11.460
BEELL N041.47.24.200 W080.03.46.320
BEEMR N038.54.42.720 W076.51.50.080 ; updated 1909
BEEPS N042.49.13.260 W076.59.04.840
BEERR N041.51.10.860 W083.08.53.660
BEERS N040.52.47.500 W075.27.37.360
BEETS N039.57.20.570 W077.26.59.550
BEEZY N039.14.25.810 W077.28.13.810
BEGBE N038.30.32.620 W079.02.19.330
BEGKA N039.17.06.610 W077.21.46.610
BEGUE N039.03.21.850 W076.47.03.970
BEHEM N040.35.25.330 W075.19.08.240
BEJAE N042.26.55.940 W085.04.32.340
BEKSE N040.20.19.770 W080.32.33.850
BELAY N039.35.15.670 W076.18.02.000
BELMA N038.58.19.390 W077.35.08.040
BELTS N039.05.49.970 W076.58.10.660
;BENAY N040.16.05.430 W085.45.57.210 ; removed 1909
BENDI N039.30.42.470 W076.52.18.720
BENDS N039.27.47.470 W081.06.20.700
BENEE N042.30.53.980 W078.19.29.080
BENJE N040.22.33.090 W079.16.19.640
BENJJ N039.40.29.470 W084.14.07.500
BENJO N041.53.08.450 W085.12.33.150
BENNY N043.44.03.210 W084.06.41.840
BENSH N039.01.10.480 W079.10.29.130
BENZO N039.05.56.300 W080.32.24.580
BEPEE N038.53.20.300 W084.41.03.950
BEPTE N039.55.35.000 W082.50.53.270
BERAY N039.45.44.070 W082.46.46.290
BERKI N043.00.16.490 W078.38.43.060
BERNE N040.39.17.260 W084.55.06.270
BERNY N039.00.26.400 W076.30.21.860
BERWI N042.13.25.890 W084.34.48.270
BERYS N042.54.33.970 W083.17.59.750
BESPE N038.55.22.150 W083.28.27.890
BESSE N038.55.38.270 W077.06.20.230
BESST N042.16.56.690 W083.13.21.040 ;updated 1909
BETEE N038.21.17.610 W077.57.44.700
BETEL N040.42.58.590 W085.07.37.770
BETLL N041.19.40.930 W081.59.12.220
BEVFE N038.44.20.780 W079.53.51.050
BEVGE N039.04.40.150 W076.37.18.440
BEWEE N038.59.29.190 W076.27.14.230
BEWEL N042.17.20.280 W080.44.42.490
BEYCH N039.53.05.960 W083.58.00.140
BEYLA N042.56.38.590 W077.45.25.860
BGBRO N039.11.34.490 W077.17.50.590
BHOLD N042.29.15.850 W083.09.36.170
BIARD N040.50.26.680 W082.25.08.810
BIBAC N040.33.40.520 W085.43.55.570 ;updated 1909
BIBAY N043.07.13.600 W077.45.15.970
BIBEJ N040.54.28.390 W079.03.22.550
BIBKE N043.16.42.190 W085.01.42.850
BIBYA N041.19.43.150 W080.22.56.970
BICAD N040.17.00.610 W085.39.02.740
BICEN N040.08.17.330 W084.49.28.000
BICKE N039.31.06.200 W080.05.52.290
BIDDU N040.14.53.770 W075.26.45.490
BIGAL N037.59.32.400 W079.37.14.630
BIGCA N042.04.47.180 W083.45.31.420
BIGEO N041.09.58.810 W077.25.44.890
BIGGZ N038.48.45.040 W077.28.36.240
BIGLE N040.26.58.710 W081.59.41.520
BIHAR N039.10.04.090 W076.34.08.940
BIIGZ N041.11.57.810 W081.47.39.450
BIILS N042.59.08.710 W078.40.12.220
BIILY N039.14.47.570 W076.48.06.290
BIKAY N038.41.46.810 W083.50.30.310
;BIKLE N042.33.17.670 W085.41.46.320 ; removed 1909
BILAW N043.07.51.950 W077.23.21.750
BILAY N043.38.08.010 W083.54.10.770
BILEY N040.47.58.520 W075.44.47.250
BILRE N040.33.46.180 W080.18.30.110
BIMGY N039.38.41.770 W083.21.19.200
BIMKE N038.49.37.330 W076.52.11.570
BIMPY N041.28.24.250 W080.21.52.080
BIMRO N043.01.41.000 W080.19.00.000
BINKS N039.03.07.040 W077.01.47.570
BINNS N039.47.06.220 W077.00.39.580
BINVE N041.14.08.050 W079.51.01.210
BIPME N039.13.06.940 W078.14.43.000
BIPOD N041.52.41.570 W076.40.04.220
BIRDZ N038.40.18.590 W076.49.21.610
BIRKS N039.14.46.680 W078.04.02.070
BIRRS N043.20.26.480 W083.46.37.110
BIRSE N043.42.25.030 W084.09.12.490
